item_id;name;category;price;old_price;sellable_online;link;other_colors;short_description;designer;depth;height;width;price_usd;category_total
89243929;PAX;Wardrobes (236);3885,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-white-fjellhamar-dark-bamboo-s89243929/;No;Wardrobe, 200x66x236 cm;IKEA of Sweden/Andreas Fredriksson/Ehlén Johansson;66;236;200;1048,950;236
9247257;PAX;Wardrobes (236);3905,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-brown-stained-ash-effect-uggdal-grey-glass-s09247257/;No;Wardrobe, 200x66x236 cm;IKEA of Sweden/Ehlén Johansson;66;236;200;1054,350;236
9300103;PAX;Wardrobes (236);3500,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-white-tyssedal-glass-s09300103/;No;Wardrobe, 200x60x236 cm;Ebba Strandmark/Ehlén Johansson/IKEA of Sweden;60;236;200;945,000;236
79305913;PAX;Wardrobes (236);4200,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-white-hokksund-high-gloss-light-beige-s79305913/;No;Wardrobe, 200x66x236 cm;IKEA of Sweden/Ehlén Johansson;66;236;200;1134,000;236
79158144;ELVARLI;Wardrobes (236);774,0;SR 1,145;TRUE;https://www.ikea.com/sa/en/p/elvarli-2-sections-white-s79158144/;No;2 sections, 125x55x216 cm;Ehlén Johansson/IKEA of Sweden;55;216;124;208,980;236
19158156;ELVARLI;Wardrobes (236);1409,0;SR 1,785;TRUE;https://www.ikea.com/sa/en/p/elvarli-2-sections-white-bamboo-s19158156/;No;2 sections, 135x51x222-350 cm;Ehlén Johansson;50;NA;135;380,430;236
39305707;PAX;Wardrobes (236);3162,0;SR 3,375;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-white-uggdal-grey-glass-s39305707/;No;Wardrobe, 150x66x236 cm;Ehlén Johansson/IKEA of Sweden;66;236;150;853,740;236
79306333;PAX;Wardrobes (236);2125,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-white-auli-mirror-glass-s79306333/;No;Wardrobe, 150x44x236 cm;IKEA of Sweden/Ehlén Johansson;44;236;150;573,750;236
29304586;PLATSA;Wardrobes (236);1324,0;SR 1,655;TRUE;https://www.ikea.com/sa/en/p/platsa-wardrobe-w-10-doors-fonnes-white-s29304586/;No;Wardrobe w 10 doors, 380x42x221 cm;IKEA of Sweden;42;221;380;357,480;236
39221128;PAX;Wardrobes (236);3775,0;No old price;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-white-hokksund-hokksund-high-gloss-light-beige-s39221128/;No;Wardrobe, 200x66x236 cm;IKEA of Sweden/Ehlén Johansson;66;236;200;1019,250;236
39264858;PAX;Wardrobes (236);3227,0;SR 3,440;TRUE;https://www.ikea.com/sa/en/p/pax-wardrobe-white-uggdal-grey-glass-s39264858/;No;Wardrobe, 150x66x236 cm;Ehlén Johansson/IKEA of Sweden;66;236;150;871,290;236
